iter	Passed	Remaining
0	8	8118
1	14	7115
2	19	6547
3	25	6303
4	31	6337
5	37	6154
6	42	6099
7	49	6141
8	55	6072
9	63	6266
10	69	6222
11	75	6203
12	82	6231
13	88	6257
14	95	6282
15	101	6258
16	108	6249
17	114	6270
18	121	6268
19	127	6268
20	133	6238
21	139	6220
22	147	6245
23	152	6219
24	161	6301
25	169	6336
26	177	6389
27	186	6479
28	194	6509
29	200	6467
30	206	6454
31	213	6467
32	219	6440
33	227	6470
34	234	6461
35	241	6468
36	247	6438
37	253	6420
38	260	6411
39	266	6384
40	272	6384
41	278	6358
42	284	6341
43	292	6347
44	299	6350
45	307	6375
46	313	6360
47	321	6371
48	328	6366
49	334	6364
50	342	6367
51	349	6365
52	358	6398
53	365	6405
54	374	6433
55	381	6429
56	389	6437
57	395	6427
58	404	6448
59	410	6433
60	417	6423
61	424	6416
62	430	6404
63	438	6412
64	445	6413
65	453	6412
66	459	6395
67	466	6396
68	472	6381
69	479	6366
70	485	6357
71	491	6340
72	499	6343
73	505	6331
74	512	6323
75	519	6314
76	525	6301
77	532	6295
78	538	6283
79	546	6281
80	552	6271
81	558	6255
82	566	6262
83	572	6247
84	579	6235
85	585	6222
86	591	6207
87	598	6202
88	604	6188
89	611	6183
90	617	6166
91	623	6150
92	630	6148
93	636	6130
94	642	6117
95	648	6109
96	654	6094
97	662	6096
98	668	6083
99	675	6075
100	682	6071
101	688	6058
102	695	6053
103	700	6039
104	707	6029
105	713	6020
106	719	6008
107	727	6012
108	734	6003
109	741	6000
110	750	6009
111	760	6029
112	767	6026
113	776	6034
114	783	6030
115	791	6028
116	798	6028
117	806	6030
118	814	6026
119	822	6029
120	830	6031
121	839	6040
122	849	6056
123	858	6066
124	866	6063
125	875	6069
126	884	6078
127	893	6087
128	902	6094
129	910	6094
130	918	6094
131	927	6101
132	937	6111
133	944	6105
134	953	6107
135	959	6098
136	968	6100
137	975	6094
138	984	6098
139	993	6101
140	1007	6136
141	1022	6177
142	1034	6198
143	1044	6207
144	1054	6216
145	1063	6221
146	1072	6220
147	1079	6215
148	1088	6214
149	1095	6206
150	1103	6203
151	1110	6197
152	1118	6191
153	1126	6186
154	1134	6182
155	1161	6282
156	1186	6370
157	1210	6451
158	1234	6527
159	1252	6575
160	1265	6596
161	1298	6719
162	1310	6730
163	1319	6726
164	1329	6727
165	1338	6723
166	1347	6721
167	1354	6705
168	1363	6704
169	1372	6701
170	1381	6695
171	1388	6685
172	1396	6677
173	1404	6667
174	1412	6658
175	1419	6644
176	1427	6637
177	1435	6629
178	1443	6622
179	1450	6607
180	1457	6594
181	1463	6579
182	1470	6565
183	1477	6551
184	1482	6532
185	1490	6523
186	1498	6512
187	1504	6499
188	1511	6484
189	1517	6467
190	1524	6455
191	1529	6435
192	1536	6422
193	1542	6407
194	1548	6392
195	1553	6373
196	1559	6355
197	1564	6337
198	1571	6325
199	1577	6309
200	1584	6296
201	1589	6279
202	1596	6269
203	1604	6260
204	1610	6245
205	1617	6233
206	1623	6220
207	1628	6202
208	1635	6191
209	1641	6176
210	1648	6165
211	1654	6150
212	1660	6136
213	1667	6125
214	1674	6112
215	1680	6098
216	1687	6088
217	1693	6075
218	1700	6065
219	1706	6049
220	1712	6035
221	1718	6022
222	1724	6008
223	1731	5998
224	1737	5985
225	1743	5972
226	1750	5960
227	1756	5948
228	1762	5934
229	1769	5923
230	1775	5910
231	1781	5896
232	1786	5881
233	1792	5868
234	1799	5857
235	1805	5845
236	1811	5830
237	1817	5819
238	1823	5805
239	1830	5796
240	1836	5783
241	1842	5769
242	1848	5757
243	1853	5742
244	1859	5731
245	1864	5715
246	1869	5700
247	1876	5688
248	1882	5676
249	1887	5661
250	1893	5651
251	1899	5638
252	1905	5626
253	1912	5616
254	1917	5603
255	1924	5593
256	1930	5580
257	1936	5570
258	1944	5562
259	1951	5553
260	1958	5546
261	1964	5533
262	1971	5525
263	1980	5521
264	1994	5531
265	2003	5527
266	2015	5533
267	2025	5531
268	2032	5524
269	2042	5522
270	2121	5706
271	2140	5730
272	2151	5729
273	2159	5722
274	2185	5761
275	2197	5765
276	2207	5761
277	2215	5753
278	2224	5747
279	2233	5742
280	2242	5738
281	2258	5751
282	2274	5761
283	2282	5754
284	2291	5748
285	2298	5738
286	2307	5731
287	2316	5726
288	2322	5714
289	2330	5705
290	2337	5694
291	2343	5683
292	2351	5675
293	2360	5668
294	2369	5663
295	2379	5660
296	2386	5649
297	2392	5635
298	2398	5623
299	2404	5611
300	2411	5600
301	2419	5591
302	2427	5583
303	2433	5571
304	2439	5558
305	2446	5548
306	2452	5535
307	2457	5521
308	2465	5513
309	2472	5502
310	2479	5492
311	2485	5481
312	2491	5469
313	2497	5456
314	2503	5443
315	2509	5431
316	2515	5419
317	2520	5406
318	2526	5393
319	2531	5380
320	2537	5368
321	2544	5357
322	2549	5343
323	2555	5330
324	2562	5321
325	2568	5310
326	2576	5302
327	2581	5289
328	2586	5276
329	2593	5264
330	2598	5252
331	2606	5243
332	2612	5233
333	2619	5222
334	2627	5215
335	2634	5205
336	2639	5192
337	2644	5179
338	2651	5169
339	2656	5157
340	2662	5145
341	2668	5135
342	2674	5122
343	2680	5112
344	2686	5100
345	2692	5089
346	2698	5078
347	2704	5067
348	2710	5055
349	2716	5044
350	2722	5033
351	2728	5022
352	2733	5010
353	2739	4999
354	2744	4986
355	2750	4975
356	2755	4963
357	2760	4950
358	2766	4939
359	2771	4927
360	2777	4916
361	2783	4905
362	2788	4893
363	2793	4881
364	2800	4871
365	2806	4860
366	2811	4848
367	2816	4837
368	2822	4825
369	2827	4815
370	2833	4804
371	2838	4792
372	2844	4781
373	2849	4769
374	2854	4758
375	2860	4747
376	2866	4737
377	2871	4725
378	2880	4719
379	2886	4709
380	2892	4699
381	2897	4688
382	2903	4676
383	2908	4665
384	2914	4655
385	2919	4643
386	2925	4633
387	2930	4621
388	2935	4610
389	2941	4600
390	2946	4588
391	2952	4578
392	2959	4570
393	2964	4558
394	2968	4547
395	2974	4537
396	2980	4527
397	2985	4515
398	2992	4506
399	2997	4495
400	3002	4485
401	3007	4473
402	3012	4463
403	3017	4451
404	3023	4442
405	3028	4431
406	3033	4420
407	3040	4411
408	3045	4400
409	3050	4389
410	3056	4379
411	3061	4369
412	3067	4359
413	3073	4350
414	3080	4342
415	3089	4337
416	3098	4332
417	3105	4323
418	3111	4314
419	3116	4304
420	3122	4295
421	3128	4285
422	3137	4279
423	3142	4269
424	3149	4260
425	3156	4252
426	3159	4239
427	3164	4229
428	3170	4220
429	3176	4210
430	3182	4201
431	3188	4192
432	3194	4183
433	3201	4174
434	3207	4166
435	3215	4159
436	3222	4151
437	3233	4148
438	3241	4142
439	3249	4135
440	3257	4128
441	3265	4122
442	3273	4115
443	3282	4110
444	3288	4101
445	3294	4092
446	3300	4083
447	3306	4073
448	3311	4064
449	3317	4054
450	3323	4045
451	3329	4036
452	3335	4027
453	3340	4017
454	3346	4008
455	3351	3998
456	3356	3988
457	3362	3979
458	3367	3969
459	3373	3959
460	3379	3951
461	3384	3941
462	3389	3931
463	3395	3922
464	3400	3912
465	3406	3903
466	3411	3894
467	3417	3885
468	3423	3875
469	3429	3867
470	3434	3857
471	3440	3848
472	3446	3840
473	3452	3831
474	3459	3823
475	3464	3814
476	3470	3805
477	3476	3796
478	3483	3788
479	3487	3777
480	3492	3768
481	3497	3759
482	3502	3749
483	3508	3740
484	3514	3731
485	3519	3722
486	3525	3713
487	3530	3703
488	3535	3694
489	3541	3685
490	3546	3676
491	3551	3667
492	3557	3658
493	3562	3648
494	3568	3640
495	3574	3632
496	3580	3623
497	3585	3614
498	3590	3605
499	3595	3595
500	3601	3587
501	3607	3578
502	3613	3570
503	3618	3561
504	3623	3552
505	3629	3543
506	3635	3534
507	3640	3526
508	3646	3517
509	3649	3506
510	3655	3497
511	3661	3489
512	3667	3481
513	3673	3473
514	3678	3464
515	3684	3455
516	3689	3446
517	3694	3437
518	3700	3429
519	3706	3421
520	3711	3412
521	3717	3404
522	3723	3395
523	3728	3386
524	3734	3378
525	3739	3369
526	3744	3360
527	3750	3352
528	3755	3344
529	3760	3334
530	3766	3326
531	3771	3317
532	3776	3308
533	3781	3300
534	3787	3291
535	3791	3282
536	3798	3275
537	3803	3266
538	3808	3257
539	3814	3249
540	3819	3240
541	3824	3231
542	3841	3233
543	3847	3224
544	3852	3216
545	3857	3207
546	3863	3199
547	3868	3190
548	3873	3181
549	3878	3173
550	3883	3164
551	3888	3155
552	3893	3147
553	3899	3139
554	3905	3131
555	3910	3122
556	3915	3114
557	3921	3106
558	3926	3097
559	3932	3089
560	3937	3081
561	3942	3072
562	3947	3063
563	3953	3055
564	3957	3047
565	3962	3038
566	3967	3029
567	3972	3021
568	3977	3012
569	3983	3005
570	3988	2996
571	3993	2988
572	3999	2980
573	4004	2971
574	4009	2963
575	4015	2955
576	4020	2947
577	4025	2938
578	4031	2931
579	4034	2921
580	4039	2912
581	4046	2905
582	4053	2899
583	4061	2892
584	4067	2885
585	4072	2877
586	4079	2870
587	4084	2861
588	4090	2854
589	4096	2846
590	4101	2838
591	4107	2830
592	4114	2823
593	4138	2828
594	4160	2831
595	4179	2832
596	4201	2836
597	4215	2833
598	4221	2826
599	4250	2833
600	4259	2827
601	4266	2820
602	4273	2813
603	4279	2805
604	4286	2798
605	4294	2791
606	4300	2784
607	4307	2776
608	4313	2769
609	4319	2761
610	4326	2754
611	4333	2747
612	4339	2739
613	4344	2731
614	4350	2723
615	4356	2715
616	4363	2708
617	4369	2700
618	4375	2693
619	4382	2685
620	4387	2677
621	4394	2670
622	4400	2663
623	4408	2656
624	4414	2648
625	4423	2642
626	4426	2633
627	4431	2625
628	4439	2618
629	4445	2610
630	4451	2603
631	4457	2595
632	4463	2587
633	4471	2581
634	4477	2573
635	4484	2566
636	4491	2559
637	4497	2551
638	4504	2544
639	4510	2537
640	4517	2529
641	4522	2522
642	4530	2515
643	4537	2508
644	4542	2500
645	4548	2492
646	4554	2485
647	4560	2477
648	4565	2469
649	4571	2461
650	4577	2453
651	4583	2446
652	4589	2438
653	4594	2430
654	4600	2423
655	4605	2414
656	4610	2407
657	4616	2399
658	4621	2391
659	4627	2383
660	4633	2376
661	4638	2368
662	4643	2360
663	4649	2352
664	4654	2344
665	4659	2336
666	4665	2329
667	4670	2321
668	4676	2313
669	4681	2305
670	4687	2298
671	4692	2290
672	4697	2282
673	4703	2274
674	4709	2267
675	4715	2259
676	4720	2252
677	4726	2244
678	4731	2236
679	4736	2228
680	4741	2221
681	4746	2213
682	4751	2205
683	4756	2197
684	4761	2189
685	4766	2181
686	4772	2174
687	4777	2166
688	4782	2158
689	4787	2150
690	4792	2143
691	4797	2135
692	4802	2127
693	4808	2120
694	4813	2112
695	4818	2104
696	4825	2097
697	4830	2089
698	4835	2082
699	4841	2074
700	4846	2067
701	4851	2059
702	4857	2052
703	4862	2044
704	4867	2036
705	4873	2029
706	4878	2021
707	4883	2013
708	4888	2006
709	4893	1998
710	4898	1991
711	4904	1984
712	4910	1976
713	4914	1968
714	4921	1961
715	4925	1953
716	4930	1946
717	4937	1939
718	4943	1932
719	4949	1924
720	4955	1917
721	4960	1910
722	4966	1902
723	4971	1895
724	4976	1887
725	4982	1880
726	4987	1872
727	4992	1865
728	4997	1857
729	5002	1850
730	5007	1842
731	5012	1835
732	5018	1827
733	5024	1820
734	5029	1813
735	5035	1806
736	5040	1798
737	5045	1791
738	5050	1783
739	5056	1776
740	5060	1768
741	5066	1761
742	5071	1754
743	5076	1746
744	5082	1739
745	5087	1732
746	5092	1724
747	5098	1717
748	5102	1710
749	5107	1702
750	5113	1695
751	5118	1687
752	5123	1680
753	5129	1673
754	5135	1666
755	5140	1659
756	5146	1652
757	5152	1644
758	5157	1637
759	5163	1630
760	5169	1623
761	5175	1616
762	5182	1609
763	5188	1602
764	5195	1596
765	5201	1588
766	5207	1581
767	5213	1574
768	5219	1567
769	5225	1560
770	5230	1553
771	5236	1546
772	5241	1539
773	5246	1532
774	5252	1524
775	5257	1517
776	5262	1510
777	5267	1503
778	5273	1496
779	5278	1488
780	5284	1481
781	5289	1474
782	5295	1467
783	5300	1460
784	5305	1453
785	5311	1446
786	5317	1439
787	5322	1432
788	5328	1424
789	5334	1417
790	5339	1410
791	5344	1403
792	5350	1396
793	5355	1389
794	5360	1382
795	5366	1375
796	5372	1368
797	5377	1361
798	5383	1354
799	5388	1347
800	5394	1340
801	5400	1333
802	5405	1326
803	5410	1318
804	5416	1312
805	5421	1304
806	5426	1297
807	5433	1291
808	5438	1283
809	5443	1276
810	5450	1270
811	5455	1263
812	5462	1256
813	5471	1250
814	5481	1244
815	5488	1237
816	5498	1231
817	5505	1225
818	5514	1218
819	5521	1212
820	5530	1205
821	5538	1199
822	5547	1193
823	5554	1186
824	5561	1179
825	5570	1173
826	5578	1167
827	5590	1161
828	5597	1154
829	5604	1147
830	5611	1141
831	5617	1134
832	5624	1127
833	5632	1121
834	5642	1115
835	5649	1108
836	5655	1101
837	5661	1094
838	5667	1087
839	5675	1080
840	5680	1074
841	5686	1067
842	5693	1060
843	5699	1053
844	5706	1046
845	5712	1039
846	5718	1032
847	5726	1026
848	5732	1019
849	5739	1012
850	5744	1005
851	5750	998
852	5758	992
853	5765	985
854	5773	979
855	5782	972
856	5790	966
857	5796	959
858	5804	952
859	5810	945
860	5817	939
861	5826	932
862	5834	926
863	5842	919
864	5849	912
865	5856	906
866	5862	899
867	5871	892
868	5878	886
869	5890	880
870	5896	873
871	5904	866
872	5910	859
873	5917	853
874	5922	846
875	5928	839
876	5936	832
877	5943	825
878	5953	819
879	5960	812
880	5970	806
881	5976	799
882	5985	793
883	5992	786
884	5999	779
885	6007	772
886	6022	767
887	6029	760
888	6035	753
889	6042	746
890	6051	740
891	6060	733
892	6068	727
893	6078	720
894	6084	713
895	6090	706
896	6098	700
897	6104	693
898	6113	686
899	6120	680
900	6129	673
901	6136	666
902	6146	660
903	6154	653
904	6162	646
905	6169	640
906	6177	633
907	6183	626
908	6190	619
909	6197	612
910	6203	606
911	6210	599
912	6217	592
913	6225	585
914	6232	578
915	6239	572
916	6246	565
917	6254	558
918	6262	552
919	6273	545
920	6280	538
921	6289	532
922	6296	525
923	6304	518
924	6311	511
925	6319	504
926	6326	498
927	6333	491
928	6341	484
929	6347	477
930	6354	470
931	6360	464
932	6367	457
933	6377	450
934	6391	444
935	6398	437
936	6406	430
937	6413	423
938	6420	417
939	6427	410
940	6435	403
941	6441	396
942	6448	389
943	6454	382
944	6460	375
945	6467	369
946	6473	362
947	6480	355
948	6487	348
949	6494	341
950	6503	335
951	6510	328
952	6517	321
953	6526	314
954	6536	308
955	6544	301
956	6552	294
957	6561	287
958	6570	280
959	6581	274
960	6588	267
961	6596	260
962	6604	253
963	6612	246
964	6619	240
965	6627	233
966	6637	226
967	6648	219
968	6659	213
969	6667	206
970	6677	199
971	6684	192
972	6695	185
973	6704	178
974	6712	172
975	6720	165
976	6728	158
977	6735	151
978	6744	144
979	6753	137
980	6763	130
981	6772	124
982	6781	117
983	6797	110
984	6814	103
985	6834	97
986	6844	90
987	6856	83
988	6866	76
989	6877	69
990	6886	62
991	6893	55
992	6903	48
993	6913	41
994	6924	34
995	6931	27
996	6939	20
997	6945	13
998	6952	6
999	6960	0
